id,parent_id,sort_order,name_en,name_ar,kind,stage,recurring,visual,depends_on,description_ar,notion_name,notion_page_id,active
del.product_portfolio_master_sheet,svc.product_portfolio_management,10,Product Portfolio Master Sheet,سجل محفظة المنتجات والخدمات,fixed,strategic,no,no,,ورقة موحّدة توثّق جميع منتجات وخدمات المنشأة، وحالتها، وأولوياتها، ودورها الحالي؛ لتوضيح ما يتم بيعه وما ينبغي التركيز عليه.,Product Portfolio Master Sheet,3daaf9a5-de1a-8149-a4bb-fa411233cd8f,yes
del.brand_book_documentation,svc.brand_management,20,Brand Book Documentation,توثيق البراند,fixed,strategic,no,no,,توثيق متكامل للبراند يغطي مراحل بنائه الأساسية، الشخصية والقيمة والتموضع والتعبير والتواصل والتجربة.,Brand Book Documentation,3daaf9a5-de1a-81c3-bfe6-cf83de6c49cd,yes
del.loyalty_journey_transformation,svc.brand_management,30,Loyalty Journey Transformation,تحويل رحلة الولاء,conditional,strategic,no,no,,إعادة تصميم رحلة العلاقة مع العميل بما يدعم الولاء والاستمرار والتفاعل وإعادة التعامل مع البراند.,Loyalty Journey Transformation,3daaf9a5-de1a-810d-9e3f-f8ba6e0e556c,yes
del.marketing_strategy_map,svc.marketing_management,40,Marketing Strategy Map,خريطة الاستراتيجية التسويقية,fixed,strategic,no,no,,خريطة استراتيجية تربط أهداف البيزنس والتسويق والمبادرات ومؤشرات القياس ببعضها وفق المنهج الاستراتيجي المعتمد.,Marketing Strategy Map,3daaf9a5-de1a-8108-8f7a-fcd05a859945,yes
del.content_calendar_research_analysis_report,off.content_calendar_production,50,Content Calendar Research & Analysis Report,تقرير بحث وتحليل تقويم المحتوى,fixed,research,no,no,,تحليل أداء المحتوى الحالي، الجمهور، المنصات، المنافسين، أنواع المحتوى، الموضوعات، الصيغ، التوقيت، وأهم فرص التحسين قبل بناء تقويم المحتوى.,Content Calendar Research & Analysis Report,3daaf9a5-de1a-81a1-b8ea-c5ab0554214e,yes
del.content_calendar_plan,off.content_calendar_production,60,Content Calendar Plan,خطة تقويم المحتوى,fixed,plan,no,no,,خطة تحدد أهداف المحتوى، الموضوعات، المنتجات، الجمهور، المنصات، الصيغ، وتوقيت النشر.,Content Calendar Plan,3daaf9a5-de1a-815e-8d41-de2f026cbcf0,yes
del.content_calendar_content_production,off.content_calendar_production,70,Content Calendar Content Production,إنتاج محتوى التقويم,fixed,execution,yes,no,,إنتاج النصوص والأفكار والرسائل والمحتوى المطلوب لتنفيذ تقويم المحتوى المعتمد.,Content Calendar Content Production,3daaf9a5-de1a-81b6-8069-dfed018c82e0,yes
del.content_calendar_media_preparation,off.content_calendar_production,80,Content Calendar Media Preparation,تجهيز المواد البصرية للتقويم,fixed,execution,yes,yes,,تجهيز المواد البصرية الأساسية المطلوبة لنشر المحتوى. أما التصوير أو الإنتاج المتقدم فيدخل ضمن Media Production.,Content Calendar Media Preparation,3daaf9a5-de1a-81e8-ba4d-ee2f90050e4f,yes
del.response_playbook,off.community_management,90,Response Playbook,دليل الردود,fixed,plan,no,no,,دليل واضح لطريقة الرد على الرسائل والتعليقات والأسئلة والمواقف المتكررة بما يتوافق مع شخصية البراند.,Response Playbook,3daaf9a5-de1a-8168-b475-d6428ebed368,yes
del.community_insights_report,off.community_management,100,Community Insights Report,تقرير رؤى المجتمع,fixed,report,no,no,,ملخص دوري لأهم الأسئلة والملاحظات والاعتراضات والفرص المستخرجة من تفاعل الجمهور.,Community Insights Report,3daaf9a5-de1a-8109-9385-d90fb23c8136,yes
